"age","base","male","female"
"18","1085","647","438"
"19","2593","1583","1010"
"20","3337","2156","1181"
"21","4105","2593","1512"
"22","5241","3394","1847"
"23","5980","4062","1918"
"24","6584","4408","2176"
"25","6894","4663","2231"
"26","7119","4797","2322"
"27","6893","4708","2185"
"28","7308","4981","2327"
"29","6676","4569","2107"
"30","5859","4058","1801"
"31","5554","3797","1757"
"32","4984","3388","1596"
"33","5109","3447","1662"
"34","4731","3173","1558"
"35","4219","2782","1437"
"36","4243","2772","1471"
"37","4118","2672","1446"
"38","4615","2962","1653"
"39","4111","2640","1471"
"40","3779","2295","1484"
"41","3200","1960","1240"
"42","3157","1946","1211"
"43","3054","1841","1213"
"44","3078","1864","1214"
"45","2798","1656","1142"
"46","2637","1516","1121"
"47","2437","1403","1034"
"48","2819","1677","1142"
"49","2336","1295","1041"
"50","2145","1187","958"
"51","1935","1050","885"
"52","1877","990","887"
"53","1780","888","892"
"54","1543","832","711"
"55","1351","716","635"
"56","1290","659","631"
"57","1067","539","528"
"58","1091","556","535"
"59","888","427","461"
"60","733","366","367"
"61","653","342","311"
"62","520","268","252"
"63","377","190","187"
"64","290","135","155"
"65","290","128","162"