"zipcode","base","smokers","drinkers","drugs"
"2110","18912","956","4986","102"
"10036","37809","3299","15222","309"
"19130","23645","1794","6201","100"
"20024","8266","624","3366","35"
"30309","13215","659","3314","62"
"33130","11654","614","2980","40"
"48226","10119","918","2370","80"
"60616","12959","1244","5253","120"
"75215","12195","822","2937","40"
"77004","13056","796","3163","48"
"85003","18386","1315","4810","87"
"90012","21196","1590","8515","263"
"92411","27037","1720","7255","121"
"94102","10345","420","2586","111"
"98102","15976","794","4149","97"