"age","male","female"
"18","34","33"
"19","53","35"
"20","67","25"
"21","51","31"
"22","65","27"
"23","84","29"
"24","88","31"
"25","63","34"
"26","56","27"
"27","56","21"
"28","54","20"
"29","49","26"
"30","42","13"
"31","32","20"
"32","29","14"
"33","41","13"
"34","24","3"
"35","20","6"
"36","25","3"
"37","16","4"
"38","23","11"
"39","15","7"
"40","13","3"
"41","21","2"
"42","13","3"
"43","6","2"
"44","11","6"
"45","13","5"
"46","6","2"
"47","6","4"
"48","14","5"
"49","4","3"
"50","1","1"
"51","6","2"
"52","2","2"
"53","5","2"
"54","3","3"
"55","4","1"
"56","3","0"
"57","2","1"
"58","5","2"
"59","0","0"
"60","0","0"
"61","3","0"
"62","2","1"
"63","1","0"
"64","0","1"
"65","0","0"