age, base, smokers, drinkers, drugs
"18","966","196","840","28"
"19","1372","196","1064","14"
"20","1610","294","1274","84"
"21","1330","280","1008","28"
"22","1596","448","1330","14"
"23","1918","532","1568","14"
"24","1750","420","1470","0"
"25","2254","616","1890","56"
"26","1946","504","1666","42"
"27","1974","476","1624","42"
"28","1974","588","1666","28"
"29","1316","308","1008","14"
"30","1456","392","1246","56"
"31","1386","392","1218","0"
"32","1442","350","1176","14"
"33","1316","336","1246","28"
"34","1120","224","868","28"
"35","1400","322","1218","14"
"36","1162","224","952","0"
"37","1092","364","882","0"
"38","1722","364","1400","14"
"39","1666","336","1372","0"
"40","1638","490","1442","0"
"41","1092","238","840","0"
"42","1302","350","1092","28"
"43","1036","238","924","0"
"44","1302","406","1148","14"
"45","1106","280","882","0"
"46","1008","336","840","0"
"47","840","238","742","0"
"48","868","224","728","0"
"49","588","182","504","0"
"50","728","140","672","0"
"51","560","84","434","0"
"52","462","84","308","14"
"53","574","84","490","14"
"54","434","98","336","0"
"55","364","84","294","0"
"56","308","98","210","14"
"57","392","56","350","0"
"58","280","84","196","0"
"59","196","42","196","0"
"60","140","28","126","0"
"61","168","42","140","0"
"62","84","0","84","0"
"63","84","14","56","0"
"64","84","0","56","0"
"65","42","0","42","0"